"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"11","관광펜션업","03_11_02_P","4500000","CDFI3261092021000001","2021-03-14","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 무릉동 462","충청남도 공주시 무릉동길 15 (무릉동)","32592","공주무릉펜션","2021-03-14 10:24:05","I","2021-03-16 00:22:59","","214782.283121848","328107.297488195","관광펜션업","","관리지역","2","","","","단독주택","","","","","","","","","","","","","","195.35","","","","","","","","","200000000","","","","195",
"12","관광펜션업","03_11_02_P","4500000","CDFI3261092021000002","2021-03-16","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 유구읍 연종리 88","충청남도 공주시 유구읍 구계연종길 434-41","32501","은적자연관광농원","2021-03-16 19:49:50","I","2021-03-18 00:22:59","","200271.224640917","343828.134794227","관광펜션업","","","1","","","","","","","","","","","","","","","","","","280","","","","","","","","","","","","","280",
"13","관광펜션업","03_11_02_P","4510000","CDFI3261092015000013","2015-07-01","","03","폐업","03","폐업","2022-11-24","","","","","","355-944","충청남도 보령시 신흑동 2303-6","충청남도 보령시 고잠2길 16-18 (신흑동)","33488","대천바다여행펜션","2022-11-25 15:12:42","U","2022-11-27 02:40:00","","156522.26188877","312458.679294919","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","Daecheon sea voyage Pension","Tourism Pension","","","","","","","","379.17","","","","","","","","","","","","","379",
"14","관광펜션업","03_11_02_P","4510000","CDFI3261092016000001","2016-06-29","","03","폐업","03","폐업","2017-09-12","","","","","","","충청남도 보령시 신흑동 2228-1번지","충청남도 보령시 머드로 150-1 (신흑동)","33488","대천릴렉스펜션","2017-09-13 13:03:56","I","2018-08-31 23:59:59","","155904.109744919","313084.160653551","관광펜션업","","","2","","","","","2","","","","Daecheon relax pension","Tourisim Pension","","","","","","","","","","","","","","","","","100000000","","","","",
"15","관광펜션업","03_11_02_P","4510000","CDFI3261092017000001","2017-08-07","","03","폐업","03","폐업","2019-01-09","","","","","","","충청남도 보령시 신흑동 2305-2번지","충청남도 보령시 고잠2길 6 (신흑동)","33488","또바기 펜션","2019-01-09 15:10:21","U","2019-01-11 02:40:00","","156505.115193044","312344.329125249","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Ddobaki Pension","Tourism Pension","","","","","","","","133.2","","","","","","","","","800000000","","","","133",
"16","관광펜션업","03_11_02_P","4510000","CDFI3261092004000001","2004-04-03","","03","폐업","03","폐업","2020-04-29","","","","041-932-8555","","355-943","충청남도 보령시 신흑동 946-4번지","충청남도 보령시 대천항1길 67-30 (신흑동)","33490","바다사랑","2020-04-29 13:03:30","U","2020-05-01 02:40:00","","155443.806764546","313828.617094348","관광펜션업","","","3","","","","","2","1","","","","","","","","","","","","968.88","","","","","","","","","0","","","","969",
"17","관광펜션업","03_11_02_P","4510000","CDFI3261092009000001","2009-12-28","","03","폐업","03","폐업","2024-01-22","","","","041-934-1455","","355-150","충청남도 보령시 신흑동 2222-12","충청남도 보령시 머드로 166 (신흑동)","33489","고향펜션","2024-01-22 17:06:13","U","2024-01-24 02:40:00","","155826.261407905","313238.552809944","관광펜션업","","관리지역","3","기타","","","숙박시설","2","1","","","Go Hyang Pension","Tourism Pension","","","","","","","","344.52","","","","","","","","","500000000","","","","345",
"18","관광펜션업","03_11_02_P","4510000","CDFI3261092010000001","2010-05-18","","03","폐업","03","폐업","2018-07-27","","","","041-931-4621","","355-944","충청남도 보령시 신흑동 2213-13번지","충청남도 보령시 해수욕장13길 11 (신흑동)","33489","준펜션","2018-07-27 17:51:03","I","2018-08-31 23:59:59","","155848.170908471","313408.477351652","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","","","Joon Pension","Tourism Pension","","","","","","","","310.72","","","","","","","","","130000000","","","","311",
"19","관광펜션업","03_11_02_P","4510000","CDFI3261092010000002","2010-08-18","","03","폐업","03","폐업","2019-01-02","","","","041-933-3261","","355-943","충청남도 보령시 신흑동 2260-6번지","충청남도 보령시 해수욕장9길 1 (신흑동)","33489","해날펜션","2019-01-17 17:16:45","U","2019-01-19 02:40:00","","156040.809780998","312897.26655061","관광펜션업","","관리지역","3","기타","","","","3","0","","","Hae nal Pension","Tourism Pension","","","","","","","","336.99","","","","","","","","","","","","","337",
"20","관광펜션업","03_11_02_P","4510000","CDFI3261092011000001","2011-03-14","","03","폐업","03","폐업","2020-05-15","","","","041-933-7139","","355-943","충청남도 보령시 신흑동 2260-1번지","충청남도 보령시 머드로 132 (신흑동)","33489","블루비치","2020-05-15 17:08:45","U","2020-05-19 02:40:00","","155992.611645564","312937.55778563","관광펜션업","","관리지역","4","","","","","3","1","","","Blue Beach","Tourism Pension","","","","","","","","436.32","","","","","","","","","","","","","436",
"21","관광펜션업","03_11_02_P","4510000","CDFI3261092011000003","2011-07-06","","03","폐업","03","폐업","2022-10-14","","","","041-934-6346","","355-943","충청남도 보령시 신흑동 2219-4","충청남도 보령시 해수욕장13길 14-18 (신흑동)","33489","썬샤인관광펜션","2022-10-14 10:51:22","U","2022-10-16 02:40:00","","155897.066234372","313321.076392358","관광펜션업","","관리지역","3","기타","","","숙박시설","2","1","","","Sunshine Tourist Pension","Tourism Pension","","","","","","","","397.99","","","","","","","","","200000000","","","","398",
"22","관광펜션업","03_11_02_P","4510000","CDFI3261092012000001","2012-02-10","","03","폐업","03","폐업","2020-07-17","","","","041-936-4747","","355-943","충청남도 보령시 신흑동 2220-1","충청남도 보령시 머드로 176-11 (신흑동)","355-943","펜션좋은집","2020-07-20 10:13:09","U","2020-07-22 02:40:00","","155829.74819251","313319.368546131","관광펜션업","","관리지역","3","기타","","","숙박시설","2","1","","","Pension ATTRACT","Tourism Pension","","","","","","","","280.65","","","","","","","","","100000000","","","","281",
"23","관광펜션업","03_11_02_P","4510000","CDFI3261092012000004","2012-11-12","","03","폐업","03","폐업","2018-02-09","","","","041-933-4744","","355-943","충청남도 보령시 신흑동 2213-7번지","충청남도 보령시 해수욕장13길 15 (신흑동)","33489","그린펜션","2018-02-12 07:53:30","I","2018-08-31 23:59:59","","155883.698311069","313426.858821721","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","","","Green Pension","Tourism Pension","","","","","","","","206.52","","","","","","","","","300000000","","","","207",
"24","관광펜션업","03_11_02_P","4510000","CDFI3261092012000007","2012-11-27","","03","폐업","03","폐업","2014-01-22","","","","041-931-7441","","355-943","충청남도 보령시 신흑동 2219-3번지","충청남도 보령시 해수욕장13길 14-16 (신흑동)","355-943","미래펜션","2014-01-23 09:47:51","I","2018-08-31 23:59:59","","155890.92112599","313333.705080556","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","","","Mirae Pension","Tourism Pension","","","","","","","","295.26","","","","","","","","","300000000","","","","295",
"25","관광펜션업","03_11_02_P","4510000","CDFI3261092012000008","2012-12-20","","03","폐업","03","폐업","2017-09-15","","","","041-932-1291","","355-943","충청남도 보령시 신흑동 2219-7번지","충청남도 보령시 해수욕장13길 14-26 (신흑동)","33489","나노관광펜션","2017-09-18 09:53:32","I","2018-08-31 23:59:59","","155915.447271812","313283.035366056","관광펜션업","","관리지역","3","기타","","","숙박시설","2","1","","","Nano Tourism Pension","Tourism Pension","","","","","","","","440.85","","","","","","","","","200000000","","","","441",
"26","관광펜션업","03_11_02_P","4510000","CDFI3261092013000003","2013-05-28","","03","폐업","03","폐업","2019-06-18","","","","041-933-3803","","355-943","충청남도 보령시 신흑동 2303-2번지","충청남도 보령시 고잠2길 16-6 (신흑동)","355-943","대천즐겨찾기","2019-06-18 18:45:15","U","2019-06-20 02:40:00","","156474.087834177","312433.181188133","관광펜션업","","","3","기타","","","숙박시설","3","0","","","Daecheonzeulgyeochakki","Tourism Pension","","","","","","","","314.17","","","","","","","","","500000000","","","","314",
"27","관광펜션업","03_11_02_P","4510000","CDFI3261092013000005","2013-07-01","","03","폐업","03","폐업","2022-02-21","","","","041-927-7000","","355-943","충청남도 보령시 신흑동 2302-7","충청남도 보령시 고잠2길 16-17 (신흑동)","33488","대천에코펜션","2022-02-21 13:25:07","U","2022-02-23 02:40:00","","156511.269337897","312480.521072865","관광펜션업","","","3","기타","","","숙박시설","3","0","","","Daecheon Eco Pension","Tourism Pension","","","","","","","","380.04","","","","","","","","","500000000","","","","380",
"28","관광펜션업","03_11_02_P","4510000","CDFI3261092013000007","2013-07-05","","03","폐업","03","폐업","2020-04-29","","","","041-934-8188","","355-943","충청남도 보령시 신흑동 2302-12번지","충청남도 보령시 고잠2길 16-3 (신흑동)","33488","마마펜션","2020-04-29 13:03:18","U","2020-05-01 02:40:00","","156451.291182708","312448.477195829","관광펜션업","","","3","기타","","","숙박시설","3","0","","","Mama Pension","Tourism Pension","","","","","","","","378.84","","","","","","","","","500000000","","","","379",
"29","관광펜션업","03_11_02_P","4510000","CDFI3261092019000005","2019-08-06","","03","폐업","03","폐업","2024-01-18","","","","","","","충청남도 보령시 신흑동 2260-3","충청남도 보령시 해수욕장9길 9 (신흑동)","33489","디어펜션","2024-01-22 17:06:26","U","2024-01-24 02:40:00","","156013.630333278","312933.790526173","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","Dear Pension","Tourism Pension","","","","","","","","390.42","","","","","","","","","","","","","390",
"30","관광펜션업","03_11_02_P","4510000","CDFI3261092019000007","2019-10-08","","03","폐업","03","폐업","2020-05-25","","","","","","","충청남도 보령시 신흑동 2304-7번지","충청남도 보령시 고잠2길 8-15 (신흑동)","33488","카카오스토리","2020-06-08 13:51:06","U","2020-06-10 02:40:00","","156547.248893594","312409.044635092","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","KAKAO STORY","Tourism Pension","","","","","","","","378.96","","","","","","","","","","","","","379",
"31","관광펜션업","03_11_02_P","4510000","CDFI3261092015000009","2015-06-19","","01","영업/정상","13","영업중","","","","","","","355-884","충청남도 보령시 남포면 월전리 산 154-1 102동","충청남도 보령시 남포면 남포방조제로 408-52, 102동","33501","(주)케이씨티","2024-04-28 08:58:31","U","2024-04-30 02:40:00","","","","관광펜션업","","관리지역","2","기타","","","","2","0","0","0","Korea Computer Terminal Inc.","Tourism Pension","0","0","","0","0","","0","128.48","","0","","","","","","","8575000100","","","","128",
"32","관광펜션업","03_11_02_P","4510000","CDFI3261092015000010","2015-06-19","","01","영업/정상","13","영업중","","","","","02-398-1712","","355-884","충청남도 보령시 남포면 월전리 산 154-1번지 205동","충청남도 보령시 남포면 남포방조제로 408-52, 205동","33501","(주)한국문학사","2015-06-19 15:02:21","I","2018-08-31 23:59:59","","","","관광펜션업","","관리지역","2","기타","","","","2","","","","Korean Literature Inc.","Tourism Pension","","","","","","","","116.73","","","","","","","","","36070000000","","","","117",
"33","관광펜션업","03_11_02_P","4510000","CDFI3261092015000011","2015-06-19","","01","영업/정상","13","영업중","","","","","02-398-1710","","355-884","충청남도 보령시 남포면 월전리 산 154-1번지 206동","충청남도 보령시 남포면 남포방조제로 408-52, 206동","33501","(주)한상개발","2015-06-19 15:05:18","I","2018-08-31 23:59:59","","","","관광펜션업","","관리지역","2","기타","","","","2","","","","Hansang Development Inc.","Tourism Pension","","","","","","","","116.73","","","","","","","","","5514000000","","","","117",
"34","관광펜션업","03_11_02_P","4510000","CDFI3261092015000012","2015-06-25","","01","영업/정상","13","영업중","","","","","","","355-943","충청남도 보령시 신흑동 2257-2번지","충청남도 보령시 해수욕장9길 16-6 (신흑동)","33489","유투관광펜션","2015-06-25 10:26:33","I","2018-08-31 23:59:59","","156035.46673405","312962.070404465","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","U2 Pension","Tourism Pension","","","","","","","","386.4","","","","","","","","","","","","","386",
"35","관광펜션업","03_11_02_P","4510000","CDFI3261092016000002","2016-08-19","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2301-11번지","충청남도 보령시 고잠2길 20-5 (신흑동)","33488","난다펜션","2017-10-24 09:15:56","I","2018-08-31 23:59:59","","156445.347975268","312490.428094746","관광펜션업","","","3","","","","","3","","","","Nanda pension","Tourism Pension","","","","","","","","218","","","","","","","","","","","","","218",
"36","관광펜션업","03_11_02_P","4510000","CDFI3261092018000001","2018-06-07","","01","영업/정상","13","영업중","","","","","041-933-5426","","","충청남도 보령시 신흑동 2302-3번지","충청남도 보령시 고잠2길 20-8, 보헤미안펜션 (신흑동)","33488","보헤미안펜션","2018-07-30 11:00:12","I","2018-08-31 23:59:59","","156468.145744311","312475.366060062","관광펜션업","","관리지역","3","주택가주변","","","숙박시설","3","","","","Bohemian Pension","Tourism Pension","","","","","","","","390.96","","","","","","","","","","","","","391",
"37","관광펜션업","03_11_02_P","4510000","CDFI3261092018000002","2018-07-24","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2256-4번지","충청남도 보령시 해수욕장9길 2-27 (신흑동)","33489","숨펜션","2018-07-24 10:57:36","I","2018-08-31 23:59:59","","156124.327709135","313010.564468159","관광펜션업","","관리지역","3","기타","","","숙박시설","3","1","","","Soom Pension","Tourism Pension","","","","","","","","498.29","","","","","","","","","1000000000","","","","498",
"38","관광펜션업","03_11_02_P","4510000","CDFI3261092015000007","2015-06-18","","01","영업/정상","13","영업중","","","","","041-589-3300","","355-884","충청남도 보령시 남포면 월전리 산 154-1번지 101, 204동","충청남도 보령시 남포면 남포방조제로 408-52, 101, 204동","33501","한국컴퓨터(주)","2018-01-29 13:07:22","I","2018-08-31 23:59:59","","","","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","Korea Computer Inc.","Tourism Pension","","","","","","","","385.4","","","","","","","","","8035000000","","","","385",
"39","관광펜션업","03_11_02_P","4510000","CDFI3261092019000001","2019-03-05","","01","영업/정상","13","영업중","","","","","041-933-2303","","","충청남도 보령시 신흑동 2303-9번지","충청남도 보령시 고잠2길 12-11 (신흑동)","33488","동그라미 펜션","2019-04-08 10:57:15","U","2019-04-10 02:40:00","","156505.388187507","312431.794383593","관광펜션업","","관리지역","3","","","","숙박시설","3","","","","","","","","","","","","","130.22","","","","","","","","","","","","","130",
"40","관광펜션업","03_11_02_P","4510000","CDFI3261092015000008","2015-06-18","","01","영업/정상","13","영업중","","","","","","","355-884","충청남도 보령시 남포면 월전리 산 154-1번지","충청남도 보령시 남포면 남포방조제로 408-52, 104동","33501","(주)한네트","2015-06-19 14:05:13","I","2018-08-31 23:59:59","","","","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","Hannet Co. Ltd.","Tourism Pension","","","","","","","","128.48","","","","","","","","","5782000000","","","","128",
"41","관광펜션업","03_11_02_P","4510000","CDFI3261092010000003","2010-10-20","","01","영업/정상","13","영업중","","","","","041-932-0647","","355-943","충청남도 보령시 신흑동 2258-1번지","충청남도 보령시 해수욕장9길 6 (신흑동)","33489","제일펜션","2019-04-10 11:03:35","U","2019-04-12 02:40:00","","156045.503140901","312925.372610039","관광펜션업","","관리지역","3","","","","숙박시설","3","0","","","Jeil Pension","Tourism Pension","","","","","","","","317.98","","","","","","","","","","","","","318",
"42","관광펜션업","03_11_02_P","4510000","CDFI3261092011000002","2011-03-14","","01","영업/정상","13","영업중","","","","","041-932-0018","","355-943","충청남도 보령시 신흑동 2261-6번지","충청남도 보령시 머드로 134 (신흑동)","33489","아도니스","2013-11-14 14:41:17","I","2018-08-31 23:59:59","","155979.144874978","312955.369344363","관광펜션업","","관리지역","3","","","","","3","0","","","Adonis","Tourism Pension","","","","","","","","379.76","","","","","","","","","369000000","","","","380",
"43","관광펜션업","03_11_02_P","4510000","CDFI3261092011000004","2011-07-20","","01","영업/정상","13","영업중","","","","","041-953-9952","","355-943","충청남도 보령시 신흑동 2260-10번지","충청남도 보령시 머드로 130 (신흑동)","33489","해피데이펜션","2013-11-14 14:42:30","I","2018-08-31 23:59:59","","156002.174032726","312925.019416672","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Happy day pension","Tourism Pension","","","","","","","","393.36","","","","","","","","","400000000","","","","393",
"44","관광펜션업","03_11_02_P","4510000","CDFI3261092011000005","2011-12-07","","01","영업/정상","13","영업중","","","","","041-936-4277","","355-846","충청남도 보령시 오천면 원산도리 1671-33번지","충청남도 보령시 오천면 원산도7길 121","355-846","햇빛바다 관광펜션","2014-01-06 15:37:05","I","2018-08-31 23:59:59","","145798.092938753","318856.149037024","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","","","Haebit-bada Tourism Pension","Tourism Pension","","","","","","","","1155.59","","","","","","","","","100000000","","","","1156",
"45","관광펜션업","03_11_02_P","4510000","CDFI3261092012000002","2012-07-17","","01","영업/정상","13","영업중","","","","","","","355-944","충청남도 보령시 신흑동 2302-9번지","충청남도 보령시 고잠2길 16-11 (신흑동)","355-944","대천올레펜션","2013-11-14 14:10:41","I","2018-08-31 23:59:59","","156487.391812599","312467.530617155","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Daecheon Olle Tourism Pension","Tourism Pension","","","","","","","","367.95","","","","","","","","","500000000","","","","368",
"46","관광펜션업","03_11_02_P","4510000","CDFI3261092012000003","2012-07-17","","01","영업/정상","13","영업중","","","","","","","355-944","충청남도 보령시 신흑동 2302-2번지","충청남도 보령시 고잠2길 20-6 (신흑동)","33488","대천초록펜션","2013-11-14 14:11:12","I","2018-08-31 23:59:59","","156456.083269744","312468.933060321","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Daecheon Chorok Tourism Pension","Tourism Pension","","","","","","","","367.95","","","","","","","","","500000000","","","","368",
"47","관광펜션업","03_11_02_P","4510000","CDFI3261092012000006","2012-11-21","","01","영업/정상","13","영업중","","","","","041-932-1910","","355-943","충청남도 보령시 신흑동 2222-4번지","충청남도 보령시 머드로 176-18 (신흑동)","33489","햇살콘도식펜션","2013-11-14 14:17:17","I","2018-08-31 23:59:59","","155822.135879624","313284.009644885","관광펜션업","","관리지역","2","기타","","","숙박시설","2","1","","","Sunshine Condo style Pension","Tourism Pension","","","","","","","","341.49","","","","","","","","","650000000","","","","341",
"48","관광펜션업","03_11_02_P","4510000","CDFI3261092013000002","2013-05-15","","01","영업/정상","13","영업중","","","","","041-931-7307","","355-943","충청남도 보령시 신흑동 2303-3","충청남도 보령시 고잠2길 16-10 (신흑동)","33488","대천놀러와펜션","2021-03-31 10:07:02","U","2021-04-02 02:40:00","","156486.145","312439.625","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Daecheonnolreowa Tourism Pension","Tourism Pension","","","","","","","","362.04","","","","","","","","","600000000","","","","362",
"49","관광펜션업","03_11_02_P","4510000","CDFI3261092012000005","2012-11-21","","01","영업/정상","13","영업중","","","","","041-932-0421","","355-943","충청남도 보령시 신흑동 2219-2번지","충청남도 보령시 해수욕장13길 14-12 (신흑동)","33489","대천로마펜션","2013-11-14 14:16:32","I","2018-08-31 23:59:59","","155884.524557196","313346.19506781","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","","","Daecheon Roma Pension","Tourism Pension","","","","","","","","370.98","","","","","","","","","750000000","","","","371",
"50","관광펜션업","03_11_02_P","4510000","CDFI3261092013000004","2013-07-01","","01","영업/정상","13","영업중","","","","","041-931-0500","","355-943","충청남도 보령시 신흑동 2258-3","충청남도 보령시 해수욕장9길 2-7 (신흑동)","33489","수지펜션","2024-05-20 17:50:45","U","2024-05-22 02:40:00","","156070.164230377","312937.856609442","관광펜션업","","","3","기타","","","숙박시설","3","0","","","Suji Tourism Pension","Tourism Pension","","","","","","","","317.08","","","","","","","","","500000000","","","","317",
"51","관광펜션업","03_11_02_P","4510000","CDFI3261092013000006","2013-07-02","","01","영업/정상","13","영업중","","","","","041-932-5379","","355-943","충청남도 보령시 신흑동 2301-10번지","충청남도 보령시 고잠2길 20-7 (신흑동)","33488","대천허브펜션","2013-11-14 14:20:58","I","2018-08-31 23:59:59","","156457.415522172","312496.868850609","관광펜션업","","","3","기타","","","숙박시설","3","0","","","Daecheon Hub Pension","Tourism Pension","","","","","","","","391.08","","","","","","","","","400000000","","","","391",
"52","관광펜션업","03_11_02_P","4510000","CDFI3261092014000001","2014-07-16","","01","영업/정상","13","영업중","","","","","041-933-5111","","355-943","충청남도 보령시 신흑동 2304-6번지","충청남도 보령시 고잠2길 12-18 (신흑동)","33488","메모리펜션","2014-07-16 08:35:26","I","2018-08-31 23:59:59","","156540.240566604","312422.941527791","관광펜션업","","","","","","","","","","","","Memory Pension","Tourism Pension","","","","","","","","","","","","","","","","","75000000","","","","",
"53","관광펜션업","03_11_02_P","4510000","CDFI3261092014000002","2014-08-13","","01","영업/정상","13","영업중","","","","","","","355-884","충청남도 보령시 남포면 월전리 844번지","충청남도 보령시 남포면 남포방조제로 408-52","33501","주식회사 상화원","2017-06-26 11:11:56","I","2018-08-31 23:59:59","","158234.745309804","308616.508682466","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Jukdo Sangyok Development Inc.","Tourism Pension","","","","","","","","3100.72","","","","","","","","","1411000000","","","","3101",
"54","관광펜션업","03_11_02_P","4510000","CDFI3261092014000003","2014-08-25","","01","영업/정상","13","영업중","","","","","041-936-3400","","355-944","충청남도 보령시 신흑동 1951","충청남도 보령시 대해로 882 (신흑동)","33488","신진펜션호텔","2021-01-27 19:35:28","U","2021-01-29 02:40:00","","156610.885619019","311813.349343868","관광펜션업","","","","","","","","2","1","","","Shinjin Pension Hotel","Tourism Pension","","","","","","","","934.17","","","","","","","","","1100000000","","","","934",
