"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"11","종합여행업","03_12_03_P","4490000","CDFI2260042014000001","2014-07-04","","01","영업/정상","13","영업중","","","","","041-567-4369","","","충청남도 천안시 서북구 불당동 757번지 단지상가 107호","충청남도 천안시 서북구 불당17길 14, 107호 (불당동, 불당아이파크)","31163","(주)코신","2019-10-24 16:14:42","U","2019-10-26 02:40:00","","209681.467185309","367464.923988615","종합여행업","","","4","","","서울보증보험","","4","0","0","0","","","0","0","","0","0","","0","25","","0","","","","","","","230000000","20191024","20201023","","25","",
"12","종합여행업","03_12_03_P","4490000","CDFI2260042016000002","2015-11-18","","01","영업/정상","13","영업중","","","","","070-4009-3530","","","충청남도 천안시 서북구 두정동 555","충청남도 천안시 서북구 오성1길 25, 202호 (두정동)","31090","주식회사 글로벌비엔","2023-11-26 16:30:38","U","2023-11-28 02:40:00","","211327.28392444","370156.552459099","종합여행업","","","0","","","서울보증보험","","0","0","0","0","Global BN co., LTD","General travel business","0","0","","0","0","","0","0","","0","","","","","","","200000000","20231201","20241130","","0","",
"13","종합여행업","03_12_03_P","4490000","CDFI2260042017000001","2017-02-06","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 불당동 1534 110호","충청남도 천안시 서북구 불당25로 176, 1층 110호 (불당동)","31156","(주)에스제이투어","2020-11-03 19:53:26","U","2020-11-05 02:40:00","","209665.080510471","368317.230536408","종합여행업","","","0","","","서울보증보험","","0","0","0","0","SJ TOUR Co.,Ltd","General Travel","0","0","","0","0","","0","0","","0","","","","","","","100000000","20200306","20210305","","0","",
"14","종합여행업","03_12_03_P","4490000","CDFI2260042017000002","2017-05-15","","01","영업/정상","13","영업중","","","","","07050800029","","","충청남도 천안시 동남구 원성동 471-5번지 105호","충청남도 천안시 동남구 원성14길 9-1, 105호 (원성동)","31126","(주)세종항공","2019-09-03 20:27:11","U","2019-09-05 02:40:00","","214161.796376276","367437.888066968","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","20190621","20200620","","0","",
"15","종합여행업","03_12_03_P","4490000","CDFI2260042017000003","2017-05-26","","01","영업/정상","13","영업중","","","","","0415545122","","","충청남도 천안시 동남구 대흥동 95","충청남도 천안시 동남구 버들로 4 (대흥동)","31129","(주)에이스항공여행사","2023-11-26 16:29:52","U","2023-11-28 02:40:00","","213175.689112058","367525.229828815","종합여행업","","","0","","","관광공제회","","0","0","0","0","Ace Airline Travel service Co., Ltd.","general travel services","0","0","","0","0","","0","0","","0","","","","","","","150000000","20231031","20241031","","0","",
"16","종합여행업","03_12_03_P","4490000","CDFI2260042018000002","2018-07-03","","01","영업/정상","13","영업중","","","","","041-906-8879","","","충청남도 천안시 서북구 백석동 1206 천안 미래에이스하이테크시티 SB111호","충청남도 천안시 서북구 백석공단1로 10, 천안 미래에이스하이테크시티 SB111호 (백석동)","31094","(주)쉘위고","2021-08-11 11:18:20","U","2021-08-13 02:40:00","","209836.948532429","369163.488562318","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20190710","20200709","","0","",
"17","종합여행업","03_12_03_P","4490000","CDFI2260042023000007","2023-08-03","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 550","충청남도 천안시 서북구 오성9길 10, 1층 (두정동)","31090","(주)코오롱관광","2023-09-01 16:21:45","U","2023-09-03 02:40:00","","211373.956013087","370213.724225327","종합여행업","","일반주거지역","5","주택가주변","","서울보증보험","교육연구시설","5","0","0","0","","","0","0","","0","0","","0","398.8","","0","","","","","","","50000000","20230801","20240731","","399","",
"18","종합여행업","03_12_03_P","4490000","CDFI2260042023000008","2023-08-16","","01","영업/정상","13","영업중","","","","","1811-8217","","","충청남도 천안시 서북구 불당동 1530","충청남도 천안시 서북구 불당23로 70, 정우프라자 7층 701.702.헬로우워크H18호 (불당동)","31156","흰여울에듀투어","2023-11-26 16:05:11","U","2023-11-28 02:40:00","","209637.153596096","368474.11277207","종합여행업","","일반상업지역","10","아파트지역","","서울보증보험","의료시설","8","2","0","0","","","0","0","","0","0","","0","5.5","","0","","","","","","","50512352","20230901","20240831","","6","",
"19","종합여행업","03_12_03_P","4490000","CDFI2260042023000006","2023-06-19","","01","영업/정상","13","영업중","","","","","1668-1288","","","충청남도 천안시 동남구 신부동 489-1","충청남도 천안시 동남구 신부12길 19, 201호 (신부동)","31124","(주)여행아놀자","2024-07-06 12:35:49","U","2024-07-08 02:40:00","","214231.247956309","368563.891273545","종합여행업","","일반상업지역","12","기타","","서울보증보험","근린생활시설","7","5","0","0","","","0","0","","0","0","","0","618.54","","0","","","","","","","50000000","20230619","20240618","","619","",
"20","종합여행업","03_12_03_P","4490000","CDFI2260042019000002","2019-11-21","","01","영업/정상","13","영업중","","","","","041-523-2002","","","충청남도 천안시 서북구 불당동 1534","충청남도 천안시 서북구 불당25로 176, 율곡스퀘어더에이스1 3층 306호 (불당동)","31156","글로벌비즈여행사","2023-11-29 10:19:02","U","2023-12-01 02:40:00","","209665.080510471","368317.230536408","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20231201","20241130","","0","",
"21","종합여행업","03_12_03_P","4490000","CDFI2260042022000002","2022-03-21","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 구성동 472-2","충청남도 천안시 동남구 구성12길 9, 1동 1층 101호 (구성동)","31192","주식회사 구공","2022-06-17 16:36:18","U","2022-06-19 02:40:00","","214260.06212172","366114.461674099","종합여행업","","","2","","","서울보증보험주식회사","사무실","1","1","0","0","","","0","0","","0","0","","0","19.57","","0","","","","","","","50000000","20220323","20230322","","20","",
"22","종합여행업","03_12_03_P","4490000","CDFI2260042024000004","2024-06-26","","01","영업/정상","13","영업중","","","","","041-576-6622","","","충청남도 천안시 서북구 성정동 193-27 광명당","충청남도 천안시 서북구 봉정로 128, 1층 (성정동)","31145","코리나여행사","2024-06-26 13:10:39","I","2024-06-29 00:14:02","","212576.939620281","368002.44692798","종합여행업","","","4","기타","","","근린생활시설","3","1","0","0","","","0","0","","0","0","","0","38.4","","0","","","","","","","50000000","","","","38","",
"23","종합여행업","03_12_03_P","4490000","CDFI2260042024000005","2024-07-16","","01","영업/정상","13","영업중","","","","","041-566-5725","","","충청남도 천안시 동남구 신부동 367-10","충청남도 천안시 동남구 중앙로 225, 103호 (신부동)","31122","365일 여행사","2024-07-18 10:57:03","U","2024-07-20 02:40:00","","213500.095971599","368549.223564817","종합여행업","","","3","","","한국관광협회중앙회 관광공제회","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","45","","0","","","","","","","50000000","20240717","20250717","","45","",
"24","종합여행업","03_12_03_P","4490000","CDFI2260042020000001","2020-02-26","","01","영업/정상","13","영업중","","","","","041-555-1201","","","충청남도 천안시 동남구 대흥동 62-9번지","충청남도 천안시 동남구 버들로 1-5 (대흥동)","31128","플래닛 트래블","2020-04-17 10:42:17","U","2020-04-19 02:40:00","","213179.719196068","367569.351817196","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20200226","20210225","","0","",
"25","종합여행업","03_12_03_P","4490000","CDFI2260042023000005","2023-04-19","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 1612 두정프라자","충청남도 천안시 서북구 두정역서5길 4, 두정프라자 403-462호 (두정동)","31103","(주)세계여행사","2023-11-26 15:55:40","U","2023-11-28 02:40:00","","212943.812984848","370688.513671543","종합여행업","","일반주거지역","5","학교정화(상대)","","SGI 서울보증보험","근린생활시설","4","1","0","0","","","0","0","","0","0","","0","298.64","","0","","","","","","","50000000","20230425","20250424","","299","",
"26","종합여행업","03_12_03_P","4490000","CDFI2260042024000002","2024-04-24","","01","영업/정상","13","영업중","","","","","041-569-4523","","","충청남도 천안시 서북구 성정동 196-16 성정빌딩","충청남도 천안시 서북구 봉정로 116, 351호 (성정동)","31145","주식회사 제코리아","2024-06-29 19:28:48","U","2024-07-01 02:40:00","","212562.352738979","367886.908023614","종합여행업","","일반상업지역","5","주택가주변","","서울보증보험","근린생활시설","4","1","0","0","","","0","0","","0","0","","0","10","","0","","","","","","","50000000","20240424","20250423","","10","",
"27","종합여행업","03_12_03_P","4490000","CDFI2260042024000003","2024-05-01","","01","영업/정상","13","영업중","","","","","041-565-9920","","","충청남도 천안시 서북구 쌍용동 1337","충청남도 천안시 서북구 쌍용8길 17-3, 103호 (쌍용동)","31166","주식회사 코브","2024-05-01 17:55:14","I","2024-05-03 00:14:49","","210773.775","366727.73","종합여행업","","일반주거지역","2","주택가주변","","","근린생활시설","1","1","0","0","","","0","0","","0","0","","0","48.37","","0","","","","","","","50000000","","","","48","",
"28","종합여행업","03_12_03_P","4490000","CDFI2260042023000002","2023-03-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 백석동 1049","충청남도 천안시 서북구 한들1로 184, 천안마치에비뉴3 1동 138호 (백석동)","31087","주식회사 뉴엔","2023-11-29 21:37:23","U","2023-12-01 02:40:00","","210688.781651584","370806.700438195","종합여행업","","준주거지역","3","기타","","서울보증보험","근린생활시설","2","1","0","0","","","0","0","","0","0","","0","46.64","","0","","","","","","","50000000","20230314","20240312","","47","",
"29","종합여행업","03_12_03_P","4490000","CDFI2260042023000004","2023-03-31","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 성환읍 성환리 449-5 (주)대승","충청남도 천안시 서북구 성환읍 성환1로 264 (주)대승 2층","31014","신우여행사","2023-04-03 10:04:42","U","2023-04-05 02:40:00","","211395.48794014","379663.520757861","종합여행업","","일반주거지역","3","기타","","서울보증","근린생활시설","3","0","0","0","","","0","0","","0","0","","0","170.4","","0","","","","","","","50962080","20230331","20240330","","170","",
"30","종합여행업","03_12_03_P","4490000","CDFI2260042023000003","2023-03-10","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 1110 노블","충청남도 천안시 서북구 두정중3길 27, 노블 2층 H12호 (두정동)","31101","스페이스투어","2023-11-26 15:52:53","U","2023-11-28 02:40:00","","212526.482799737","370750.226216418","종합여행업","","일반주거지역","5","기타","","SGI 서울보증보험","근린생활시설","5","0","0","0","","","0","0","","0","0","","0","6.1","","0","","","","","","","55155856","20230313","20240312","","6","",
"31","종합여행업","03_12_03_P","4490000","CDFI2260042023000001","2023-02-13","","01","영업/정상","13","영업중","","","","","1577-3287","","","충청남도 천안시 서북구 불당동 1492 천안불당파크푸르지오1단지","충청남도 천안시 서북구 불당26로 144, 7동 204호 (불당동, 천안불당파크푸르지오1단지)","31156","주식회사 충청레저앤여행","2023-11-28 14:19:55","U","2023-11-30 02:40:00","","209610.700324802","368847.902359092","종합여행업","","주거지역","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20230301","20240229","","0","",
"32","종합여행업","03_12_03_P","4490000","CDFI2260042024000001","2024-01-08","","01","영업/정상","13","영업중","","","","","041-561-1598","","","충청남도 천안시 동남구 구룡동 1 중부화물터미널","충청남도 천안시 동남구 청당산업길 33, 중부화물터미널 309호 (구룡동)","31212","서풍L&T","2024-01-08 18:03:40","I","2024-01-10 00:16:42","","214569.301691146","362765.99279101","종합여행업","","자연녹지지역","4","기타","","","운수시설","3","1","0","0","","","0","0","","0","0","","0","53.55","","0","","","","","","","50000000","","","","54","",
"33","종합여행업","03_12_03_P","4490000","CDFI2260042021000001","2016-02-26","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 1612 두정프라자","충청남도 천안시 서북구 두정역서5길 4, 두정프라자 403호 (두정동)","31103","(주)케이펙한국산업교육센터","2022-11-21 10:32:50","U","2022-11-23 02:40:00","","212943.812984848","370688.513671543","종합여행업","","관리지역","0","","","서울보증보험(주)","교육연구시설","0","0","0","0","KPEC Korea Productivity Education Center Co.,Ltd.","General travel business","0","0","","0","0","","0","54","","0","","","","","","","390000000","20220909","20230908","","54","",
"34","종합여행업","03_12_03_P","4490000","CDFI2260042022000004","2022-11-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 1647","충청남도 천안시 서북구 두정역서3길 63, 103호 (두정동)","31103","광희여행사","2022-11-28 17:11:25","I","2022-11-30 00:39:55","","213138.808772006","370572.522393025","종합여행업","","일반주거지역","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","60.5","","0","","","","","","","55948160","","","","61","",
"35","종합여행업","03_12_03_P","4490000","CDFI2260042018000003","2018-10-22","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 863 석정빌딩","충청남도 천안시 서북구 원두정3길 20, 석정빌딩 3층 312호 (두정동)","31107","(주)알앤이 국제인재개발원","2023-11-26 15:52:14","U","2023-11-28 02:40:00","","212190.244678958","370071.49622567","종합여행업","","","0","","","SGI 서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20220902","20230901","","0","",
"36","종합여행업","03_12_03_P","4490000","CDFI2260042018000004","2018-11-22","","01","영업/정상","13","영업중","","","","","0416226161","","","충청남도 천안시 동남구 신부동 53-24","충청남도 천안시 동남구 천안대로 802, 홍익빌딩 3층 (신부동)","31067","아시아여행사(주)","2023-11-26 16:29:03","U","2023-11-28 02:40:00","","214645.156527794","368696.128120582","종합여행업","","","0","","","관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20231103","20241103","","0","",
"37","종합여행업","03_12_03_P","4490000","CDFI2260042023000010","2023-10-23","","01","영업/정상","13","영업중","","","","","041-578-6111","","","충청남도 천안시 서북구 성정동 729-5","충청남도 천안시 서북구 성정로 95, 107호 (성정동)","31141","라라여행사","2023-12-11 18:30:03","U","2023-12-13 02:40:00","","212478.952944741","368058.175243429","종합여행업","","준주거지역","2","주택가주변","","서울보증보험","근린생활시설","1","1","0","0","","","0","0","","0","0","","0","51.13","","0","","","","","","","60000000","20231201","20241130","","51","",
"38","종합여행업","03_12_03_P","4490000","CDFI2260042023000009","2022-05-18","","01","영업/정상","13","영업중","","","","","041-417-1013","","","충청남도 천안시 서북구 두정동 1612 두정프라자","충청남도 천안시 서북구 두정역서5길 4, 두정프라자 403호 (두정동)","31103","에스프레스토 주식회사","2023-11-26 16:11:21","U","2023-11-28 02:40:00","","212943.812984848","370688.513671543","종합여행업","","","0","","","서울보증보험","사무실","3","0","0","0","sPresto Co., Ltd.","General Travel Business","0","0","","0","0","","0","0","","0","","","","","","","58544400","20230725","20240724","","0","",
"39","종합여행업","03_12_03_P","4490000","CDFI2260042023000011","2023-11-27","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 975-1 천안두정빌딩","충청남도 천안시 서북구 부성4길 3, 천안두정빌딩 2층 (두정동)","31100","엘에스케이","2023-12-11 16:23:20","U","2023-12-13 02:40:00","","211956.3491634","370302.834054995","종합여행업","","일반주거지역","5","기타","","서울보증보험","근린생활시설","5","0","0","0","","","0","0","","0","0","","0","136.12","","0","","","","","","","50000000","20231208","20241207","","136","",
"40","종합여행업","03_12_03_P","4500000","CDFI2260042013000001","2013-08-09","","03","폐업","03","폐업","2015-03-19","","","","","","314-240","충청남도 공주시 검상동 702-5번지","충청남도 공주시 공단길 6 (검상동)","314-240","(주)한남투어","2016-03-21 14:33:35","I","2018-08-31 23:59:59","","206674.287994884","325509.665563712","종합여행업","","","1","기타","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","96","","0","","","","","","","300000000","","","","96","",
"41","종합여행업","03_12_03_P","4500000","CDFI2260042023000003","2017-11-29","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 산성동 174-33","충청남도 공주시 산성시장5길 43-25, 2층 (산성동)","32539","(주)글로벌에듀","2023-08-04 15:39:18","I","2023-08-06 00:18:39","","211048.140243391","328682.804681117","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","GLOBALEDU CO., LTD","General Travel Agency","0","0","","0","0","","0","0","","0","","","","","","","100000000","20221129","20231128","","0","",
"42","종합여행업","03_12_03_P","4500000","CDFI2260042023000002","2023-07-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반죽동 245-2","충청남도 공주시 감영길 12 (반죽동)","32549","주식회사 퍼즐랩","2023-07-28 09:11:41","I","2023-07-30 00:18:45","","210912.065946488","327976.529097378","종합여행업","","일반주거지역","2","기타","","","기타","2","0","0","0","","","0","0","","0","0","","0","72.2","","0","","","","","","","50000000","","","","72","",
"43","종합여행업","03_12_03_P","4500000","CDFI2260042023000001","2023-06-21","","01","영업/정상","13","영업중","","","","","041-857-0071","","","충청남도 공주시 옥룡동 331-9","충청남도 공주시 우금티로 789, 1층 (옥룡동)","32561","(주)청솔해외관광","2023-06-21 09:53:11","I","2023-06-23 00:19:17","","211903.130432057","328264.752902749","종합여행업","","주거지역","4","기타","","","근린생활시설","4","0","0","0","","","0","0","","0","0","","0","81.44","","0","","","","","","","300000000","","","","81","",
"44","종합여행업","03_12_03_P","4500000","CDFI2260042020000001","2020-04-08","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 금성동 177-1","충청남도 공주시 백미고을길 10-9, 3층 349호 (금성동)","32537","주식회사 골든레저","2023-12-17 11:00:48","U","2023-12-19 02:40:00","","210868.471129281","329456.027702423","종합여행업","","준주거지역","3","기타","","","근린생활시설","3","1","0","0","Golden Leisure","General Travel Business","0","0","","0","0","","0","3.3","","0","","","","","","","100000000","","","","3","",
"45","종합여행업","03_12_03_P","4500000","CDFI2260042021000001","2021-01-19","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 봉황동 200-6","충청남도 공주시 큰샘1길 4-3, 2층 (봉황동)","32550","주식회사 오펀데이","2021-01-19 08:35:19","I","2021-01-21 00:23:03","","210709.859107552","327650.898207404","종합여행업","","일반주거지역","2","주택가주변","","","근린생활시설","2","0","0","0","","","0","0","","0","0","","0","62.73","","0","","","","","","","100000000","","","","63","",
"46","종합여행업","03_12_03_P","4510000","CDFI2260042014000001","2014-03-13","","03","폐업","03","폐업","2015-12-29","","","","041-936-1828","","355-932","충청남도 보령시 대천동 134-35번지 비동","충청남도 보령시 보령북로 86-6, 2층 (대천동)","33439","(주)하이케이티","2015-12-29 15:39:23","I","2018-08-31 23:59:59","","163742.017170175","316996.682037653","종합여행업","","근린상업지역","3","","","","사무실","2","0","0","0","","","0","0","","0","0","","0","115.42","","0","","","","","","","200000000","20140325","20150324","","115","",
"47","종합여행업","03_12_03_P","4510000","CDFI2260042016000001","2016-10-18","","03","폐업","03","폐업","2019-01-07","","","","","","","충청남도 보령시 웅천읍 대창리 720-3번지","충청남도 보령시 웅천읍 장터중앙길 150, 3층","33520","주식회사 쵸이스인터네셔널코리아","2019-01-08 08:49:03","U","2019-01-10 02:40:00","","163909.340475397","303780.526108279","종합여행업","","준주거지역","0","주택가주변","","","근린생활시설","0","0","0","0","Choice International Korea Co., Ltd.","","0","0","","0","0","","0","26.4","","0","","","","","","","100000000","20161018","20171017","","26","",
"48","종합여행업","03_12_03_P","4510000","CDFI2260042023000001","2023-06-01","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 동대동 1690","충청남도 보령시 한내로 7, 4층 402호 (동대동)","33435","나비투어","2024-02-27 15:07:01","U","2024-02-29 02:40:00","","164483.312914442","316467.258125089","종합여행업","","주거지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"49","종합여행업","03_12_03_P","4510000","CDFI2260042018000001","2018-10-31","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 동대동 509-4","충청남도 보령시 매방아1길 11, 신관 1층 (동대동)","33433","(주)여행이야기","2021-04-20 18:01:36","U","2021-04-22 02:40:00","","164734.913176251","316335.796500653","종합여행업","","일반상업지역","2","기타","","서울보증보험","사무실","2","0","0","0","","","0","0","","0","0","","0","35.88","","0","","","","","","","200000000","20210424","20220423","","36","",
"50","종합여행업","03_12_03_P","4520000","CDFI2260042013000001","2012-07-25","","03","폐업","03","폐업","2019-12-31","","","","0415489091","","","충청남도 아산시 권곡동 553-16","충청남도 아산시 충무로 48 (권곡동)","31514","(주)투어리스트코리아","2021-06-18 16:28:51","U","2021-06-20 02:40:00","","200446.728861139","364891.931380025","종합여행업","","일반상업지역","5","","","한국관광협회중앙회","근린생활시설","4","1","0","0","Tourist Korea Co.,Ltd.","General Tourism Bussiness","0","0","","0","0","","0","225","","0","","","","","","","350000000","20181012","20191012","","225","",
