순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
54,충청남도,태안군,캠핑드림캠핑장,충남 태안군 용도로 410-80,숙박,캠핑,4913
55,충청남도,태안군,솔라고리조트,충남 태안군 기업도시9길 205-0,숙박,콘도미니엄,4897
56,충청남도,태안군,말리오션스파,충남 태안군 만리포1길 95-0,숙박,호텔,4860
57,충청남도,예산군,자자호텔,충남 예산군 예산산업단지로 15-19,숙박,모텔,4802
58,충청남도,태안군,마검포힐링캠핑장,충남 태안군 마검포길 313-30,숙박,캠핑,4770
59,충청남도,천안시 서북구,F2호텔,충남 천안시 서북구 오성로 150-0,숙박,모텔,4716
60,충청남도,천안시 서북구,아늑호텔성정점,충남 천안시 서북구 성정공원4길 11-0,숙박,호텔,4681
61,충청남도,천안시 서북구,뷰호텔,충남 천안시 서북구 부대중앙길 17-0,숙박,모텔,4678
62,충청남도,논산시,더시티호텔,충남 논산시 계백로 1008-4,숙박,호텔,4514
63,충청남도,당진시,두바이호텔,충남 당진시 북부산업로 652-0,숙박,호텔,4477
63,충청남도,서산시,넘버25호텔서산호수공원점,충남 서산시 번화4길 6-1,숙박,모텔,4477
65,충청남도,천안시 동남구,브라운도트호텔천안점,충남 천안시 동남구 큰시장길 7-1,숙박,모텔,4423
66,충청남도,천안시 서북구,브라운도트호텔천안쌍용점,충남 천안시 서북구 차돌들길 12-5,숙박,호텔,4387
67,충청남도,태안군,몽산포오토캠핑장,충남 태안군 몽산포길 65-24,숙박,캠핑,4386
68,충청남도,부여군,파크아트빌라스,충남 부여군 서궁로 129-0,숙박,호텔,4271
69,충청남도,태안군,몽산포청솔오토캠핑장,충남 태안군 몽산포길 99-20,숙박,캠핑,4270
70,충청남도,천안시 동남구,상록호텔,충남 천안시 동남구 수신로 576-0,숙박,호텔,4250
71,충청남도,아산시,캠프그라운드화온,충남 아산시 고룡산로 512-37,숙박,캠핑,4244
72,충청남도,천안시 서북구,보보스호텔,충남 천안시 서북구 차돌들길 11-12,숙박,모텔,4236
73,충청남도,태안군,청포대썬셋,충남 태안군 안면대로 1308-0,숙박,펜션/민박,4232
74,충청남도,서산시,브라운도트호텔서산점,충남 서산시 안견로 284-0,숙박,호텔,4224
75,충청남도,태안군,한마음오션플레이스,충남 태안군 신두해변길 122-0,숙박,펜션/민박,4207
76,충청남도,청양군,칠갑산오토캠핑장,충남 청양군 까치내로 710-0,숙박,캠핑,4206
77,충청남도,보령시,메리머드호텔,충남 보령시 해수욕장8길 52-0,숙박,호텔,4155
78,충청남도,공주시,호텔미인,충남 공주시 전막3길 14-0,숙박,모텔,4057
79,충청남도,천안시 서북구,브라운도트호텔불당점,충남 천안시 서북구 검은들3길 21-0,숙박,호텔,4053
80,충청남도,서천군,서천유스호스텔,충남 서천군 장항산단로34번길 72-40,숙박,호스텔,4007
81,충청남도,보령시,토모노야호텔&료칸대천,충남 보령시 해안로 341-0,숙박,호텔,3968
82,충청남도,보령시,리버사이드호텔,충남 보령시 천변북길 87-0,숙박,호텔,3967
83,충청남도,아산시,아모르호텔,충남 아산시 남산로8번길 41-0,숙박,모텔,3912
84,충청남도,천안시 서북구,하운드호텔성정점,충남 천안시 서북구 성정공원7길 14-0,숙박,모텔,3909
85,충청남도,태안군,골든비치펜션,충남 태안군 신두해변길 141-0,숙박,펜션/민박,3851
86,충청남도,예산군,덕산참숯랜드,충남 예산군 노곡길 55-0,숙박,펜션/민박,3843
87,충청남도,천안시 서북구,아덴호텔,충남 천안시 서북구 성정공원3길 27-0,숙박,모텔,3812
88,충청남도,태안군,사목공원캠핑장,충남 태안군 사목길 49-0,숙박,캠핑,3811
89,충청남도,공주시,호텔금강,충남 공주시 전막2길 16-11,숙박,호텔,3796
90,충청남도,천안시 서북구,호텔아리아,충남 천안시 서북구 봉정로 277-0,숙박,모텔,3788
91,충청남도,공주시,마루호텔,충남 공주시 전막2길 16-1,숙박,모텔,3778
92,충청남도,아산시,토비스콘도도고,충남 아산시 기곡로77번길 41-0,숙박,콘도미니엄,3733
92,충청남도,태안군,석갱이오토캠핑장,충남 태안군 옥파로 1025-28,숙박,캠핑,3733
94,충청남도,태안군,하나무인텔,충남 태안군 독샘로 77-13,숙박,모텔,3684
95,충청남도,아산시,호텔라그라스,충남 아산시 충무로8번길 22-0,숙박,호텔,3674
96,충청남도,천안시 동남구,브라운도트호텔천안터미널점,충남 천안시 동남구 신부3길 25-0,숙박,호텔,3655
97,충청남도,서산시,삼원레저타운캠핑장,충남 서산시 진장서낭골길 204-0,숙박,캠핑,3649
98,충청남도,천안시 서북구,호텔벨리노,충남 천안시 서북구 양지17길 14-0,숙박,모텔,3590
99,충청남도,아산시,브라운도트호텔아산터미널점,충남 아산시 번영로205번길 6-0,숙박,모텔,3587
100,충청남도,아산시,저스트스테이호텔아산시청점,충남 아산시 아산로 74-0,숙박,호텔,3558
101,충청남도,천안시 서북구,호텔감,충남 천안시 서북구 성정공원3길 8-0,숙박,모텔,3521
102,충청남도,천안시 동남구,이끌림호텔아비숑본관,충남 천안시 동남구 양지10길 6-0,숙박,모텔,3517
103,충청남도,태안군,둘레길캠핑장,충남 태안군 꾸지나무길 37-76,숙박,캠핑,3478
104,충청남도,태안군,세븐무인텔,충남 태안군 천수만로 365-67,숙박,모텔,3464
105,충청남도,천안시 서북구,CS프라자호텔,충남 천안시 서북구 성정공원6길 54-0,숙박,모텔,3462
106,충청남도,금산군,금산인삼호텔,충남 금산군 인삼광장로 47-0,숙박,호텔,3440
107,충청남도,서산시,벌천포오토캠핑장,충남 서산시 벌천포길 93-20,숙박,캠핑,3404
108,충청남도,태안군,기지포해수욕장,충남 태안군 해안관광로 745-19,숙박,캠핑,3393
109,충청남도,서산시,드칼레호텔,충남 서산시 동헌로 115-0,숙박,호텔,3388
110,충청남도,천안시 서북구,베니키아호텔,충남 천안시 서북구 양지21길 42-0,숙박,호텔,3386
111,충청남도,공주시,리제나호텔,충남 공주시 전막3길 18-4,숙박,모텔,3367
112,충청남도,천안시 서북구,저스트슬립호텔천안두정점,충남 천안시 서북구 두정상가7길 17-0,숙박,호텔,3352
113,충청남도,천안시 서북구,클래스호텔,충남 천안시 서북구 검은들3길 11-0,숙박,모텔,3347
114,충청남도,서천군,장항오토캠핑장,충남 서천군 장항산단로34번길 48-38,숙박,캠핑,3332
115,충청남도,논산시,레이크힐호텔,충남 논산시 탑정로 872-0,숙박,호텔,3318
116,충청남도,태안군,어은돌야영장,충남 태안군 모항파도로 398-70,숙박,캠핑,3309
117,충청남도,천안시 서북구,샹그리라호텔,충남 천안시 서북구 성정공원1길 32-0,숙박,모텔,3304
118,충청남도,아산시,카네기호텔,충남 아산시 번영로234번길 6-0,숙박,모텔,3268
119,충청남도,당진시,큐비스트호텔,충남 당진시 북부산업로 835-25,숙박,호텔,3254
120,충청남도,당진시,자우리호텔당진점,충남 당진시 통정3길 30-0,숙박,호텔,3231
121,충청남도,당진시,돌체모텔,충남 당진시 당진중앙2로 17-24,숙박,모텔,3205
122,충청남도,보령시,E호텔,충남 보령시 머드로 171-0,숙박,호텔,3200
123,충청남도,서산시,저스트슬립호텔서산호수공원점,충남 서산시 읍내3로 12-0,숙박,호텔,3197
124,충청남도,서산시,프리마모텔,충남 서산시 읍내6로 13-1,숙박,모텔,3190
125,충청남도,서산시,타임호텔,충남 서산시 읍내2로 19-0,숙박,모텔,3178
126,충청남도,천안시 서북구,쇼호텔,충남 천안시 서북구 성정공원2길 21-0,숙박,모텔,3177
127,충청남도,천안시 서북구,K2호텔,충남 천안시 서북구 성정공원5로 55-0,숙박,모텔,3155
128,충청남도,천안시 동남구,더휴식소륜호텔천안점,충남 천안시 동남구 만남의길 21-0,숙박,모텔,3132
128,충청남도,서산시,하운드호텔,충남 서산시 읍내1로 17-0,숙박,모텔,3132
130,충청남도,논산시,리버모텔,충남 논산시 해월로 226-0,숙박,모텔,3128
131,충청남도,천안시 서북구,더휴식아늑호텔천안역2호점,충남 천안시 서북구 양지21길 37-0,숙박,모텔,3124
132,충청남도,천안시 서북구,호텔달,충남 천안시 서북구 불당33길 47-0,숙박,모텔,3098
133,충청남도,보령시,우연플로라호텔,충남 보령시 해수욕장8길 48-0,숙박,호텔,3090
134,충청남도,당진시,스테이호텔,충남 당진시 북부산업로 656-0,숙박,모텔,3087
135,충청남도,공주시,505펜션앤키즈캠핑장,충남 공주시 호계황골길 43-0,숙박,캠핑,3086
136,충청남도,태안군,안면도갤러리펜션,충남 태안군 옷점길 147-102,숙박,펜션/민박,3084
137,충청남도,공주시,호텔공산여관,충남 공주시 전막3길 20-0,숙박,모텔,3060
138,충청남도,천안시 동남구,웨스턴호텔,충남 천안시 동남구 신부2길 25-0,숙박,호텔,3035
139,충청남도,천안시 서북구,호텔윈저,충남 천안시 서북구 검은들3길 9-0,숙박,모텔,3029
139,충청남도,홍성군,TG무인텔,충남 홍성군 홍북로 530-24,숙박,모텔,3029
141,충청남도,아산시,이틀모텔,충남 아산시 온화로11번길 10-0,숙박,모텔,3012
142,충청남도,천안시 서북구,에이치투호텔,충남 천안시 서북구 두정상가3길 19-0,숙박,호텔,2995
142,충청남도,서산시,허앤장한옥호텔서산호수공원점,충남 서산시 읍내3로 14-10,숙박,호텔,2995
144,충청남도,천안시 서북구,천안ST179호텔,충남 천안시 서북구 차돌들길 11-14,숙박,모텔,2994
145,충청남도,천안시 서북구,천안라트리호텔,충남 천안시 서북구 성정공원3길 25-0,숙박,호텔,2990
146,충청남도,아산시,호텔아트리움,충남 아산시 온화로17번길 11-0,숙박,모텔,2989
147,충청남도,공주시,계룡산사계절펜션,충남 공주시 신원사로 430-57,숙박,펜션/민박,2985
148,충청남도,천안시 서북구,호텔하루,충남 천안시 서북구 성정공원4길 22-0,숙박,모텔,2983
149,충청남도,태안군,골든웨이브펜션,충남 태안군 곰섬로 236-70,숙박,펜션/민박,2973
150,충청남도,아산시,도고별장스파피아,충남 아산시 도고면로 188-0,숙박,모텔,2945
151,충청남도,홍성군,벨리노호텔,충남 홍성군 조양로205번길 10-0,숙박,모텔,2939
152,충청남도,공주시,넘버25호텔,충남 공주시 전막1길 6-33,숙박,모텔,2927
153,충청남도,천안시 서북구,월호텔,충남 천안시 서북구 오성로 152-0,숙박,모텔,2903
154,충청남도,보령시,햇빛바다관광펜션,충남 보령시 원산도7길 121-0,숙박,펜션/민박,2896
155,충청남도,아산시,호텔큐브,충남 아산시 시민로 370-4,숙박,호텔,2888
156,충청남도,천안시 서북구,슈바이처도르프호텔,충남 천안시 서북구 성정공원5로 42-0,숙박,호텔,2887
157,충청남도,천안시 서북구,호텔하트,충남 천안시 서북구 차돌들길 7-12,숙박,모텔,2866
157,충청남도,천안시 서북구,비지니스호텔,충남 천안시 서북구 양지9길 6-0,숙박,호텔,2866
159,충청남도,서산시,서산호텔,충남 서산시 관아문길 34-0,숙박,호텔,2860
160,충청남도,공주시,동학산장,충남 공주시 동학사1로 266-4,숙박,호텔,2856
161,충청남도,예산군,SL캠핑빌리지,충남 예산군 간양길 242-9,숙박,캠핑,2853
162,충청남도,천안시 서북구,휴호텔천안점,충남 천안시 서북구 양지9길 4-0,숙박,모텔,2842
163,충청남도,당진시,인피니티호텔,충남 당진시 밤절로 132-91,숙박,모텔,2836
164,충청남도,천안시 서북구,새마을호텔,충남 천안시 서북구 천안대로 2374-11,숙박,호텔,2832
165,충청남도,천안시 서북구,도쿄호텔,충남 천안시 서북구 차돌들길 11-11,숙박,모텔,2790
166,충청남도,천안시 서북구,도로시모텔,충남 천안시 서북구 성정공원3길 9-0,숙박,모텔,2783
167,충청남도,천안시 서북구,어반트호텔,충남 천안시 서북구 양지8길 10-5,숙박,모텔,2763
168,충청남도,태안군,팜비치펜션,충남 태안군 청포대길 57-34,숙박,펜션/민박,2760
169,충청남도,태안군,추억만들기펜션본관,충남 태안군 신두해변길 157-0,숙박,펜션/민박,2737
170,충청남도,태안군,블루아일랜드풀빌라,충남 태안군 밧개길 131-41,숙박,펜션/민박,2731
171,충청남도,천안시 서북구,저스트슬립호텔천안불당점,충남 천안시 서북구 검은들3길 69-0,숙박,호텔,2719
172,충청남도,아산시,가델관광농원,충남 아산시 신정로 200-116,숙박,캠핑,2710
173,충청남도,공주시,호텔패션,충남 공주시 번영2로 10-12,숙박,모텔,2700
174,충청남도,천안시 서북구,파라프라,충남 천안시 서북구 상덕로 42-7,숙박,캠핑,2693
175,충청남도,당진시,어반스테이당진터미널,충남 당진시 수청5길 38-0,숙박,호텔,2690
176,충청남도,예산군,티호텔,충남 예산군 온천단지2로 55-0,숙박,호텔,2667
177,충청남도,천안시 서북구,ON스마트호텔,충남 천안시 서북구 검은들3길 57-0,숙박,호텔,2663
178,충청남도,천안시 서북구,CS프라자호텔,충남 천안시 서북구 성정공원6길 54-0,숙박,호텔,2655
179,충청남도,아산시,시그너스호텔,충남 아산시 아산밸리중앙로 84-37,숙박,모텔,2654
179,충청남도,태안군,지중해아침펜션,충남 태안군 큰장돌길 141-98,숙박,펜션/민박,2654
181,충청남도,태안군,천리포수목원에코힐링센터,충남 태안군 천리포1길 234-5,숙박,기타숙박,2653
182,충청남도,계룡시,호텔계룡,충남 계룡시 계룡대로 334-0,숙박,모텔,2649
183,충청남도,천안시 동남구,아우내관광농원 캠핑장,충남 천안시 동남구 관성3길 267-39,숙박,캠핑,2643
184,충청남도,천안시 동남구,유디자인호텔,충남 천안시 동남구 청수11로 28-0,숙박,모텔,2639
185,충청남도,천안시 동남구,천안국민여가캠핑장,충남 천안시 동남구 교촌7길 46-13,숙박,캠핑,2591
186,충청남도,태안군,썬스톤풀빌라,충남 태안군 진산1길 277-75,숙박,펜션/민박,2582
187,충청남도,당진시,서해랑83,충남 당진시 매산로 92-135,숙박,캠핑,2580
188,충청남도,당진시,뉴캐슬호텔,충남 당진시 부곡공단로 68-37,숙박,모텔,2579
189,충청남도,태안군,호텔칸,충남 태안군 시장1길 12-3,숙박,호텔,2561
190,충청남도,천안시 서북구,카페호텔,충남 천안시 서북구 차돌들길 7-10,숙박,모텔,2558
191,충청남도,공주시,캠프달링,충남 공주시 개티길 20-0,숙박,캠핑,2555
192,충청남도,천안시 동남구,호텔얌천안신부점,충남 천안시 동남구 만남의길 8-1,숙박,모텔,2554
193,충청남도,당진시,저스트슬립호텔당진터미널점,충남 당진시 밤절로 168-0,숙박,호텔,2550
194,충청남도,아산시,호텔월,충남 아산시 번영로69번길 25-0,숙박,모텔,2542
195,충청남도,서천군,카몬호텔,충남 서천군 장산로317번길 9-8,숙박,모텔,2534
196,충청남도,청양군,호텔소노,충남 청양군 칠갑산로5길 5-1,숙박,호텔,2532
197,충청남도,아산시,제이모텔,충남 아산시 모산로 150-8,숙박,모텔,2531
198,충청남도,서천군,서천휴리조트펜션,충남 서천군 장항산단로34번길 61-0,숙박,펜션/민박,2518
199,충청남도,아산시,공간모텔,충남 아산시 모산로171번길 1-3,숙박,모텔,2503
200,충청남도,태안군,꾸지나무골해변캠핑장,충남 태안군 꾸지나무길 81-17,숙박,캠핑,2499
201,충청남도,천안시 서북구,호텔빛날빈,충남 천안시 서북구 차돌들길 11-9,숙박,모텔,2490
202,충청남도,태안군,민어도펜션,충남 태안군 발전로 633-45,숙박,펜션/민박,2477
203,충청남도,논산시,더코지캠핑장,충남 논산시 노성로322번길 42-10,숙박,캠핑,2466
204,충청남도,아산시,이플러스호텔,충남 아산시 호서로 519-0,숙박,모텔,2463
205,충청남도,천안시 서북구,그레이스호텔,충남 천안시 서북구 성정공원4길 26-0,숙박,호텔,2456
206,충청남도,서산시,해미모꼬지캠핑장,충남 서산시 관터로 458-0,숙박,캠핑,2455
207,충청남도,태안군,몽산포자동차야영장,충남 태안군 몽산포길 63-43,숙박,캠핑,2445
208,충청남도,논산시,링스모텔,충남 논산시 해월로 224-0,숙박,모텔,2444
209,충청남도,보령시,동백관숲속야영장,충남 보령시 용두욕장2길 40-0,숙박,캠핑,2442
210,충청남도,홍성군,쥴리아모텔,충남 홍성군 의사로43번길 2-0,숙박,모텔,2434
211,충청남도,아산시,아느칸호텔,충남 아산시 모산로 142-0,숙박,모텔,2426
212,충청남도,아산시,샹그리아모텔,충남 아산시 온화로11번길 13-0,숙박,모텔,2420
213,충청남도,당진시,XO무인호텔,충남 당진시 구래1길 26-0,숙박,모텔,2416
214,충청남도,서천군,블루아일랜드캠핑장,충남 서천군 송마길 171-0,숙박,캠핑,2410
215,충청남도,금산군,한마음심천캠핑장,충남 금산군 신동길 239-110,숙박,캠핑,2409
215,충청남도,태안군,별빛바다글램핑펜션,충남 태안군 학암포길 21-37,숙박,펜션/민박,2409
217,충청남도,서천군,서천달이빛나는밤에호텔,충남 서천군 장산로 641-12,숙박,모텔,2406
218,충청남도,홍성군,반지모텔,충남 홍성군 조양로 238-0,숙박,모텔,2400
219,충청남도,금산군,청강수폭포가든,충남 금산군 청징길 64-0,숙박,펜션/민박,2391
220,충청남도,태안군,백합펜션,충남 태안군 안면대로 1296-47,숙박,펜션/민박,2389
221,충청남도,보령시,그랜드베이,충남 보령시 터미널길 18-7,숙박,모텔,2371
222,충청남도,태안군,학암포나로캠핑장,충남 태안군 옥파로 1157-0,숙박,캠핑,2370
223,충청남도,공주시,호텔르네상스,충남 공주시 번영2로 8-0,숙박,모텔,2365
224,충청남도,천안시 동남구,KS호텔,충남 천안시 동남구 옛시청길 13-0,숙박,모텔,2363
225,충청남도,계룡시,브라운도트계룡시청점,충남 계룡시 계룡대로 316-0,숙박,모텔,2343
226,충청남도,보령시,숲속애통나무마을,충남 보령시 통나무마을1길 44-0,숙박,펜션/민박,2338
227,충청남도,천안시 서북구,드라파호텔,충남 천안시 서북구 차돌들길 11-10,숙박,모텔,2335
228,충청남도,보령시,하하펜션,충남 보령시 고잠1길 67-0,숙박,펜션/민박,2334
229,충청남도,태안군,달산포비치캠핑장,충남 태안군 달산포로 0-0,숙박,캠핑,2314
230,충청남도,공주시,공주북캠프,충남 공주시 영정길 155-3,숙박,캠핑,2311
230,충청남도,보령시,대천해수욕장캠핑장,충남 보령시,숙박,캠핑,2311
232,충청남도,당진시,위너스호텔,충남 당진시 밤절로 132-113,숙박,모텔,2305
233,충청남도,논산시,미라클모텔,충남 논산시 관촉로285번길 16-0,숙박,모텔,2299
234,충청남도,공주시,호텔INK,충남 공주시 전막2길 10-10,숙박,호텔,2293
235,충청남도,천안시 서북구,렉스호텔,충남 천안시 서북구 양지8길 10-4,숙박,호텔,2291
236,충청남도,아산시,카라무인텔,충남 아산시 기곡로62번길 11-7,숙박,모텔,2290
237,충청남도,아산시,호텔태그,충남 아산시 아산온천로157번길 15-8,숙박,모텔,2279
238,충청남도,보령시,동백관,충남 보령시 용두욕장2길 40-0,숙박,기타숙박,2277
238,충청남도,태안군,도담오토캠핑장,충남 태안군 진산1길 277-116,숙박,캠핑,2277
240,충청남도,천안시 동남구,더휴식아늑호텔천안역1호점,충남 천안시 동남구 양지14길 7-0,숙박,모텔,2270
241,충청남도,태안군,무이림,충남 태안군 대소산길 350-87,숙박,호텔,2267
242,충청남도,보령시,본가야호텔,충남 보령시 해수욕장13길 3-0,숙박,호텔,2261
243,충청남도,부여군,느루캠핑장,충남 부여군 장암로 67-28,숙박,캠핑,2246
244,충청남도,천안시 서북구,호텔?,충남 천안시 서북구 성정공원2길 43-0,숙박,모텔,2239
245,충청남도,천안시 동남구,광성장,충남 천안시 동남구 버들로 136-0,숙박,모텔,2236
246,충청남도,천안시 서북구,이끌림호텔천안점,충남 천안시 서북구 양지10길 38-0,숙박,모텔,2233
247,충청남도,당진시,어반스테이충남당진,충남 당진시 수청5길 38-0,숙박,호텔,2220
248,충청남도,태안군,블레스오션,충남 태안군 용도로 126-18,숙박,펜션/민박,2211
249,충청남도,보령시,2278리조트,충남 보령시 머드광장로 14-0,숙박,콘도미니엄,2195
250,충청남도,서산시,대산호텔,충남 서산시 구진로 21-3,숙박,모텔,2191
251,충청남도,보령시,호텔뷰,충남 보령시 홍보로 1061-175,숙박,펜션/민박,2173
252,충청남도,태안군,곰섬오토캠프장,충남 태안군 곰섬로 535-0,숙박,캠핑,2169
253,충청남도,천안시 서북구,텐호텔,충남 천안시 서북구 성진로 584-0,숙박,모텔,2161
254,충청남도,보령시,씨엘호텔,충남 보령시 대천항1길 13-0,숙박,모텔,2140
255,충청남도,서산시,씨엘로호텔,충남 서산시 읍내6로 12-1,숙박,모텔,2137
256,충청남도,보령시,더시티호텔,충남 보령시 목장3길 29-0,숙박,호텔,2134
257,충청남도,보령시,별하나펜션,충남 보령시 고잠2길 20-16,숙박,펜션/민박,2132
257,충청남도,태안군,SE클럽,충남 태안군 꾸지나무길 37-37,숙박,펜션/민박,2132
259,충청남도,예산군,오렌지토마토무인텔,충남 예산군 운곡사당골길 22-0,숙박,모텔,2130
260,충청남도,청양군,칠갑산엔에이치호텔,충남 청양군 록평용당로 775-3,숙박,호텔,2116
260,충청남도,천안시 동남구,호텔월,충남 천안시 동남구 청수11로 24-0,숙박,모텔,2116
262,충청남도,태안군,태안스테이더딜라잇,충남 태안군 신두해변길 165-0,숙박,펜션/민박,2111
263,충청남도,홍성군,이틀모텔,충남 홍성군 충서로 2431-0,숙박,모텔,2098
264,충청남도,서산시,서산보보호텔,충남 서산시 읍내2로 26-0,숙박,호텔,2097
265,충청남도,천안시 서북구,모텔7,충남 천안시 서북구 검은들3길 6-0,숙박,모텔,2094
266,충청남도,천안시 서북구,닉스폭스호텔,충남 천안시 서북구 차돌들길 11-6,숙박,모텔,2089
267,충청남도,서산시,톡무인텔,충남 서산시 상홍검동길 34-22,숙박,모텔,2069
268,충청남도,천안시 서북구,제우스모텔,충남 천안시 서북구 성정공원3길 21-0,숙박,모텔,2045
269,충청남도,서천군,라움스테이,충남 서천군 춘장대길 78-8,숙박,펜션/민박,2044
270,충청남도,보령시,1820펜션,충남 보령시 고잠1길 42-0,숙박,펜션/민박,2042
271,충청남도,천안시 동남구,숲호텔,충남 천안시 동남구 만남의길 19-10,숙박,모텔,2037
271,충청남도,천안시 서북구,K호텔,충남 천안시 서북구 성정공원4길 14-0,숙박,모텔,2037
273,충청남도,공주시,JJ오토캠핑장,충남 공주시 명곡1길 71-0,숙박,캠핑,2030
